id,from_model,to_model,repetition,label,confidence,valid_json,raw_text
0,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The claim is sarcastic because it implies that being brown is a sign of not being a real Christian, which is an absurd and ironic statement.\"",\n  \""confidence\"": 95\n}"""
1,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""Explanation provided in the instruction.\"",\n  \""confidence\"": 95\n}"""
2,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The phrase is hyperbolic and uses a strong negative term, indicating the opposite of the truth.\"",\n  \""confidence\"": 95\n}"""
3,llama-3.2-3b,qwen-2.5-1.5b,0,literal,100,True,"""{\n  \""label\"": \""literal\"",\n  \""explanation\"": \""The claim is literal because it states a factual information about Mario, without any apparent intention to mock or deceive.\"",\n  \""confidence\"": 100\n}"""
6,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The claim is sarcastic because it expresses a contrasting idea by stating a time when a well-known service (Xbox Live) did not exist, implying that this is an unusual or impossible situation.\"",\n  \""confidence\"": 95\n}"""
9,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The sarcasm detector indicates a high level of sarcasm in the given claim.\"",\n  \""confidence\"": 95\n}"""
10,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The peer's reasoning suggests sarcasm as they interpret the claim in a way that implies disbelief or skepticism towards the accusation.\""\n  ,\n  \""confidence\"": 95\n}"""
11,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The use of 'lvl' instead of 'level' and the phrase 'no you are not ready' suggests sarcasm.\"",\n  \""confidence\"": 95\n}"""
12,llama-3.2-3b,qwen-2.5-1.5b,0,sarcastic,95,True,"""{\n  \""label\"": \""sarcastic\"",\n  \""explanation\"": \""The use of profanity and the phrase 'obvs wrong' indicates sarcasm.\"",\n  \""confidence\"": 95\n}"""
13,llama-3.2-3b,qwen-2.5-1.5b,0,literal,95,True,"""{\n  \""label\"": \""literal\"",\n  \""explanation\"": \""Explanation: The original statement does not express any sarcasm.\"",\n  \""confidence\"": 95\n}"""
