id,from_model,to_model,repetition,label,confidence,valid_json,raw_text
0," ""mistral-0.3""",mistral-0.3-7b,0,sarcastic,95,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""Derogatory and offensive statement that contradicts core teachings of Christianity\"",\""confidence\"":95}"""
1," ""mistral-0.3""",mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrase 'I thought he jammed it' and the location 'behind the finger' suggest a sarcastic interpretation of the claim, as it is highly unlikely that someone would intentionally insert their finger into a trigger guard in a way that would cause it to jam.\"",\""confidence\"":85}"""
2,mistral-0.3,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""Strong, negative statement about a team's ability to manage a key position, which is often considered a team's strength, implying the opposite might be true.\"",\""confidence\"":85}"""
3,mistral-0.3,mistral-0.3-7b,0,sarcastic,95,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim implies that Mario, a video game character, is playing games in a literal sense, which is not possible. The statement is likely sarcastic, as Mario's gameplay is usually controlled by the player, not the other way around.\"",\""confidence\"":95}"""
4,mistral-0.3,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrase 'The true threat to America' is often used in a sarcastic manner to imply that the speaker believes the actual threat is not being addressed, or that the threat is being exaggerated for effect.\"",\""confidence\"":85}"""
0," ""mistral-0.3""",mistral-0.3-7b,0,sarcastic,95,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""Derogatory and offensive statement that contradicts the core teachings of Christianity, which emphasize love, acceptance, and unity, regardless of one's race or ethnicity.\"",\""confidence\"":95}"""
1," ""mistral-0.3""",mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrase 'I thought he jammed it' and the location 'behind the finger' suggest a sarcastic interpretation of the claim, as it is highly unlikely that someone would intentionally insert their finger into a trigger guard in a way that would cause it to jam.\"",\""confidence\"":85}"""
2,mistral-0.3,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""Strong, negative statement about a team's ability to manage a key position, which is often considered a team's strength, implying the opposite might be true.\"",\""confidence\"":85}"""
3,mistral-0.3,mistral-0.3-7b,0,sarcastic,95,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim implies that Mario, a video game character, is playing games in a literal sense, which is not possible. The statement is likely sarcastic, as Mario's gameplay is usually controlled by the player, not the other way around.\"",\""confidence\"":95}"""
4,mistral-0.3,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrase 'The true threat to America' is often used in a sarcastic manner to imply that the speaker believes the actual threat is not being addressed, or that the threat is being exaggerated for effect.\"",\""confidence\"":85}"""
0,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,95,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim is sarcastic because it implies that being brown is a sign of not being a real Christian, which is an absurd and ironic statement.\"",\""confidence\"":95}"""
1,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim is sarcastic because it describes a highly improbable and potentially dangerous action, which is unlikely to be true.\"", \""confidence\"":85}"""
2,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The phrase is hyperbolic and uses a strong negative term, indicating the opposite of the truth.\"",\""confidence\"":85}"""
3,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim is sarcastic because it implies that Mario, a video game character, has played a significant number of games in the past, which is an exaggeration or a joke.\"",\""confidence\"":85}"""
6,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim is sarcastic because it expresses a contrasting idea by stating a time when a well-known service (Xbox Live) did not exist, implying that this is an unusual or impossible situation.\"",\""confidence\"":85}"""
9,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The use of 'synical' (a mix of 'sincere' and 'synical') and the phrase 'ploy for SF' (San Francisco) suggests a sarcastic tone.\"", \""confidence\"":85}"""
10,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The claim is sarcastic because it lists something Hillary is accused of, implying he is not guilty of the same, which is a common rhetorical device used to express skepticism or sarcasm.\"", \""confidence\"":85}"""
11,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The use of 'lvl' instead of 'level' and the phrase 'no you are not ready' suggest sarcasm.\"",\""confidence\"":85}"""
12,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The use of profanity and the phrase 'obvs wrong' indicate sarcasm.\"",\""confidence\"":85}"""
13,llama-3.2-3b,mistral-0.3-7b,0,sarcastic,85,True,"""{\""label\"":\""sarcastic\"",\""explanation\"":\""The title is typically not something that belongs to a person. The context suggests that the speaker might be implying that the title is not appropriate or deserved by Joe Warren, which is a common sarcastic trope.\"",\""confidence\"":85}"""
