id,claim,model,repetition,label,explanation,confidence,valid_json,raw_text
0,They were too brown to be real Christians,llama-3.2-3b,0,sarcastic,"The claim is sarcastic because it implies that being brown is a sign of not being a real Christian, which is an absurd and ironic statement.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that being brown is a sign of not being a real Christian, which is an absurd and ironic statement.\"", \""confidence\"": 80}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,0,sarcastic,"The claim is sarcastic because it describes a highly improbable and potentially dangerous action, which is unlikely to be true.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it describes a highly improbable and potentially dangerous action, which is unlikely to be true.\"", \""confidence\"": 80}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,0,sarcastic,"The phrase is hyperbolic and uses a strong negative term, indicating the opposite of the truth.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase is hyperbolic and uses a strong negative term, indicating the opposite of the truth.\"", \""confidence\"": 90}"""
3,Mario didn't play as many games,llama-3.2-3b,0,literal,"The claim is literal because it states a factual information about Mario, without any apparent intention to mock or deceive.",80,True,"""{\""label\"": \""literal\"", \""explanation\"": \""The claim is literal because it states a factual information about Mario, without any apparent intention to mock or deceive.\"", \""confidence\"": 80}"""
6,"Amazing, there was actually a time when Xbox Live didn't exist.",llama-3.2-3b,0,sarcastic,"The claim is sarcastic because it expresses a contrasting idea by stating a time when a well-known service (Xbox Live) did not exist, implying that this is an unusual or impossible situation.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it expresses a contrasting idea by stating a time when a well-known service (Xbox Live) did not exist, implying that this is an unusual or impossible situation.\"", \""confidence\"": 80}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.2-3b,0,sarcastic,The wordplay on 'synical' (a mix of 'sincere' and 'synical') and the phrase 'ploy for SF' (San Francisco) suggests a sarcastic tone.,80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The wordplay on 'synical' (a mix of 'sincere' and 'synical') and the phrase 'ploy for SF' (San Francisco) suggests a sarcastic tone.\"", \""confidence\"": 80}"""
10,Is there anything he accuses Hillary of that he is not guilty of?,llama-3.2-3b,0,sarcastic,"The claim is sarcastic because it lists something Hillary is accused of, implying he is not guilty of the same, which is a common rhetorical device used to express skepticism or sarcasm.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it lists something Hillary is accused of, implying he is not guilty of the same, which is a common rhetorical device used to express skepticism or sarcasm.\"", \""confidence\"": 80}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.2-3b,0,sarcastic,The use of 'lvl' instead of 'level' and the phrase 'no you are not ready' suggest sarcasm.,90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of 'lvl' instead of 'level' and the phrase 'no you are not ready' suggest sarcasm.\"", \""confidence\"": 90}"""
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,llama-3.2-3b,0,sarcastic,The use of profanity and the phrase 'obvs wrong' indicate sarcasm.,80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of profanity and the phrase 'obvs wrong' indicate sarcasm.\"", \""confidence\"": 80}"""
13,That title belongs to Joe Warren.,llama-3.2-3b,0,sarcastic,The title belongs to Joe Warren,100,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The title belongs to Joe Warren\"", \""confidence\"": 100}"""
0,They were too brown to be real Christians,llama-3.2-3b,1,sarcastic,"The claim is sarcastic because it implies that the person is not a real Christian because of their skin color, which is a characteristic that cannot be determined by one's faith.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it implies that the person is not a real Christian because of their skin color, which is a characteristic that cannot be determined by one's faith.\"", \""confidence\"": 80}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,1,sarcastic,"The claim is likely sarcastic because it describes a highly improbable and potentially dangerous action, which is unlikely to be meant literally.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is likely sarcastic because it describes a highly improbable and potentially dangerous action, which is unlikely to be meant literally.\"", \""confidence\"": 90}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,1,sarcastic,"The phrase 'don't know shit' is a common idiomatic expression used to convey strong disapproval or disdain, often with a tone of mockery or irony.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase 'don't know shit' is a common idiomatic expression used to convey strong disapproval or disdain, often with a tone of mockery or irony.\"", \""confidence\"": 80}"""
3,Mario didn't play as many games,llama-3.2-3b,1,sarcastic,"The claim implies that Mario played many games, which is the opposite of his actual role in the Mario series.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim implies that Mario played many games, which is the opposite of his actual role in the Mario series.\"", \""confidence\"": 80}"""
6,"Amazing, there was actually a time when Xbox Live didn't exist.",llama-3.2-3b,1,sarcastic,"The claim is sarcastic because it states that Xbox Live, a service that provides online gaming, did not exist, implying that this is not the case.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it states that Xbox Live, a service that provides online gaming, did not exist, implying that this is not the case.\"", \""confidence\"": 90}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.2-3b,1,sarcastic,"The use of the word 'synical' (likely a typo for 'sincere') and the phrase 'ploy for SF' suggest a negative tone and a criticism of San Francisco (SF), which is a common topic of discussion in the context of the claim. The phrase 'there must be an election coming up' is also somewhat ironic, implying that the speaker is not actually expecting an election.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of the word 'synical' (likely a typo for 'sincere') and the phrase 'ploy for SF' suggest a negative tone and a criticism of San Francisco (SF), which is a common topic of discussion in the context of the claim. The phrase 'there must be an election coming up' is also somewhat ironic, implying that the speaker is not actually expecting an election.\"", \""confidence\"": 80}"""
10,Is there anything he accuses Hillary of that he is not guilty of?,llama-3.2-3b,1,sarcastic,"The claim is sarcastic because it asks if there is anything Hillary is accused of that the speaker is also accused of, implying the speaker is guilty of the same thing.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it asks if there is anything Hillary is accused of that the speaker is also accused of, implying the speaker is guilty of the same thing.\"", \""confidence\"": 90}"""
11,if you're not even lvl 30 on your main account no you are not ready,llama-3.2-3b,1,sarcastic,"The use of the phrase 'no you are not ready' is a common sarcastic way to express that someone is not ready, and the phrase 'lvl 30' is an exaggerated and ironic way to describe a player's level, implying that being at least level 30 is a requirement for readiness.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of the phrase 'no you are not ready' is a common sarcastic way to express that someone is not ready, and the phrase 'lvl 30' is an exaggerated and ironic way to describe a player's level, implying that being at least level 30 is a requirement for readiness.\"", \""confidence\"": 90}"""
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,llama-3.2-3b,1,sarcastic,"The claim uses strong profanity and exaggerated language to convey sarcasm, indicating a humorous or ironic tone.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim uses strong profanity and exaggerated language to convey sarcasm, indicating a humorous or ironic tone.\"", \""confidence\"": 80}"""
13,That title belongs to Joe Warren.,llama-3.2-3b,1,literal,"The claim provides a direct statement of ownership, without any obvious irony or exaggeration.",80,True,"""{\""label\"": \""literal\"", \""explanation\"": \""The claim provides a direct statement of ownership, without any obvious irony or exaggeration.\"", \""confidence\"": 80}"""
0,They were too brown to be real Christians,llama-3.2-3b,2,sarcastic,"The phrase suggests that the person thinks the person's skin color is too dark to be a genuine Christian, implying that they are mocking the idea of a person with dark skin claiming to be a Christian.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase suggests that the person thinks the person's skin color is too dark to be a genuine Christian, implying that they are mocking the idea of a person with dark skin claiming to be a Christian.\"", \""confidence\"": 90}"""
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,llama-3.2-3b,2,sarcastic,"The phrase is likely sarcastic because it describes a highly improbable and dangerous action, suggesting the speaker is being facetious.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The phrase is likely sarcastic because it describes a highly improbable and dangerous action, suggesting the speaker is being facetious.\"", \""confidence\"": 80}"""
2,The Browns don't know shit when it comes to QB's.,llama-3.2-3b,2,sarcastic,"The statement uses the phrase 'don't know shit', which is a common idiomatic expression for extreme ignorance or incompetence, often used in a mocking or sarcastic manner.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The statement uses the phrase 'don't know shit', which is a common idiomatic expression for extreme ignorance or incompetence, often used in a mocking or sarcastic manner.\"", \""confidence\"": 80}"""
3,Mario didn't play as many games,llama-3.2-3b,2,sarcastic,"The claim is sarcastic because it is about Mario, a well-known character, and implies that he did not play many games, which is an unlikely scenario.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it is about Mario, a well-known character, and implies that he did not play many games, which is an unlikely scenario.\"", \""confidence\"": 90}"""
6,"Amazing, there was actually a time when Xbox Live didn't exist.",llama-3.2-3b,2,sarcastic,"The claim is sarcastic because it states the opposite of what is commonly known about Xbox Live, implying that the speaker is being ironic.",90,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The claim is sarcastic because it states the opposite of what is commonly known about Xbox Live, implying that the speaker is being ironic.\"", \""confidence\"": 90}"""
9,"Synical ploy for SF, there must be an election coming up!",llama-3.2-3b,2,sarcastic,"The use of the word 'Synical' instead of 'Sincere' suggests sarcasm. The phrase 'there must be an election coming up' is also ironic, as it is unlikely that a ploy would be directly related to an election.",80,True,"""{\""label\"": \""sarcastic\"", \""explanation\"": \""The use of the word 'Synical' instead of 'Sincere' suggests sarcasm. The phrase 'there must be an election coming up' is also ironic, as it is unlikely that a ploy would be directly related to an election.\"", \""confidence\"": 80}"""
